Mot;Contexte;Définition;Exemples ;
Délétère;Au figuré;Nuisible, pernicieux.;Gaz délétère, doctrine délétère.;
Virginal;;D'une vierge, propre à une vierge, pudeur.;Fraicheur virginale.;
Discréditer;;Faire perdre leur autorité, leur prestige, leur influence, leur valeur à quelqu'un, quelque chose, déconsidérer .; Ces volte-face ont fini par le discréditer.;
Prosélitysme;Au figuré;Personne récemment gagnée à une doctrine, un parti, une nouveauté. ;Adepte néophyte, faire de nombreux prosélytes (ex : prosélytisme religieux).;
Catalyseur;Au figuré;Ce qui déclenche une réaction par la seule présence ou par son intervention. Substance qui augmente la vitesse d'une réaction chimique sans paraître participer à cette réaction.;Le seul catalyseur du choix de l’avenir, c’est Dieu.;
Empirisme;Philosophie;L’empirisme est une doctrine philosophique qui souligne le rôle de l'expérience dans la connaissance humaine, en minimisant la part de la raison.;L'empirisme d'une méthode de travail.;
Essaimer;Abeilles ;Quitter la ruche en essaim pour aller s'établir ailleurs. Établie des succursales.; Cette société a essaimé sur tout le territoire, autre ex : sa famille a essaimé dans toute l'Europe.;
Trépidant;;Qui est agité avec trépidations. Se dit d'un mouvement vif, saccadé.;Une voiture trépidante, une danse trépidante.;
Manichéen;;Exprime ou dénote une manière de voir ou de juger simplificatrice, sans nuance, qui apprécie les choses selon les principes absolus du bien et du mal, sans nuances et sans état intermédiaire.;Une analyse manichéenne de la situation.;
Entonner;;Verser dans une tonne, un tonneau. Commencer à chanter un air.;Le Choeur a entonné l’Introït, l’Hymne, le Magnificat. La Musique a entonné un motet. Entonner les prières.;
Emboucaner;;S'obscurcir ou se couvrir, en parlant du ciel (par analogie), caractérise le temps qu'il fait lorsque le ciel se couvre, que l'atmosphère s’obscurcit, noircir, obscurcir, encombrer.;Arrête de m’emboucaner ou je te prive de pastis.;
Axiome;Sciences;Proposition considérée comme évidente, admise sans démonstration.;Toute proposition n’est pas un axiome.;
Décaper;;Débarrasser (une surface) des dépôts, des matières qui y adhèrent fortement.;Décaper un mur avant de le repeindre.;
Kyrielle;;Longue suite (de paroles), suite inintérrompue, série interminable.;Cette plaideuse nous a fait une longue Kyrielle de ses maux, de ses persécutions, des injustices qu’on lui a fait.;
Suave;Littéraire;Qui a une douceur exquise, délicieuse.;Un parfum, une musique suave.;
Happer;;Saisir, attraper brusquement et avec violence, saisir brusquement dans la gueule, le bec.;Il s’est laissé happer par un importun.;
Fortuit;;Qui arrive par hasard, d'une manière imprévue.;Une rencontre fortuite.;
Maculer;Littéraire;Couvrir, souiller de tâches.;;
Professer;Littéraire;Déclarer hautement avoir (un sentiment de croyance), déclarer, exprimer publiquement et hautement une opinion, théorie.;Professer envers un maître la plus vive admiration.;
Labile;Didactique;Précaire, changeant, se dit de ce qui est fragile, peu stable, notamment en chimie des composés, susceptible de subir des modifications.;Il a la mémoire labile.;
Cinétique;;Théorie expliquant un ensemble de phénomènes par le mouvement de la matière, qui a le mouvement pour principe (d'un point matériel en mouvement), étude des lois qui régissent la vitesse des réactions chimiques.        ; Énergie cinétique.;
Ambivalence;;Caractère de ce qui comporte deux composantes de sens contraire, ou de ce qui se présente sous deux aspects.;Une personnalité ambivalente.;
Patent;Littéraire;Évident, manifeste.;Une injustice patente.;
